itemId,Title,Description,Release Date
68719490621,Retro Horn Rimmed Keyhole Nose Bridge Round Sunglasses,High-quality and pioneered  with the perfect blend of timeless classic and modern technology with hint of old school glamor. Scratch resistant glass tinted lens provides clarity with a vivid color spectrum.,2021-03-26T11:12:13.000Z
68719490622,Genuine Leather Suede Handbag Purse,This sleek Italian leather bag features an optional strap and easy zipper closure in a size that fits just the essentials. Wear it cross body or tucked super tight under your arm.,2021-06-25T11:12:13.000Z
68719490628,Khaki Men's Oversized Trench Coat,"Lightweight design crafted with premium quality fabrics, making it a perfect multi-seasonal cover up. All the traditional detailing of a classic trench coat.  The trench coat also features two front fastened pockets and two practical internal pockets, perfect for keeping your wallet safe. Wear this coat with a crisp button down shirt and chinos for a smart, office-to-dinner look. ",2021-04-23T11:12:13.000Z
68719490634,Suede Leather Slip-on Loafer,"Pure comfort for your feet with these handsome and versatile slip-on loafer. Smooth leather upper and lowers with elegant stitching. Smooth and breathable leather linings.  Removable, leather-lined foot bed offers enhanced arch support. Durable rubber outsole.",2021-02-11T11:12:13.000Z
68719491371,Small Calfskin Leather Satchel,"A snapping handle and secure clip, paired with authentic calfskin leather to create a roomy interior. ",2021-06-21T11:12:13.000Z
68719491372,Small Leather Top Handle Satchel,A sophisticated design with a peach leather are paired to create an elegant look. ,2021-02-21T11:12:13.000Z
68719491373,Sunshine Yellow Leather Satchel,A simple design and a sunshine yellow leather are paired to create a spunky and light look. ,2021-07-15T11:12:13.000Z
68719491374,Medium Red Leather Shoulder Bag,"A spacious, functional bag meets a trendy red leather, creating the ultimately convenient shoulder bag. ",2021-03-26T11:12:13.000Z
68719491375,Croc-Embossed Leather Top Handle Bag,Pairing the style of the croc with the classic handle bag creates a trendy look. ,2021-04-16T11:12:13.000Z
68719491376,Leather Top Handle Bag,"A textured yet smooth leather meets a sophistated design, creating an elegant look. ",2021-01-20T11:12:13.000Z
68719491380,Small Leather Satchel,"A high-quality design is paired with a red leather, creating an effortless look. ",2021-05-19T11:12:13.000Z
68719491381,Soft Pink Medium Leather Shoulder Bag,The simple design and the soft pink leather are combined to create an effortlessly elegant look. ,2021-07-18T11:12:13.000Z
68719491382,Small Belt Leather Satchel,An optional adjustible belt is paired with a classic satchel design. ,2021-03-17T11:12:13.000Z
68719491383,Brown Leather Handle Satchel,"Brown handles are contrasted with the cream leather, creating a modern look. ",2021-09-15T11:12:13.000Z
68719491384,Blue Suede Shoulder Bag,Quality suede is combined with a straightforward design to create a effortlessly sophisticated. ,2021-05-19T11:12:13.000Z
68719491385,Small Baby Blue Shoulder Bag,"A minimalistic design is paired with a soft baby blue, creating a sophistic look.",2021-01-24T11:12:13.000Z
68719491386,Pink Leather Shoulder Bag,"Combining soft pink leather with a simple shoulder bag, this bag is quirky and elegant. ",2021-06-10T11:12:13.000Z
68719491387,Rivet Infused Leather Satchel,A simple satchel design paired with rivet infused leather creates a fun look. ,2021-02-16T11:12:13.000Z
68719491388,White Leather Satchel,A simple satchel design paired with white leather creates an elegant look. ,2021-06-13T11:12:13.000Z
68719491389,Small Edge Trimmed Satchel,"A minimalistic design is combined with a sophisticated trimmed edge, creating a modern look. ",2021-01-16T11:12:13.000Z
68719491390,Brown Leather Crossbody Bag,A versatile design paired with authentic leather and adjustible crossbody straps.,2021-05-13T11:12:13.000Z
68719491391,Mini Leather Crossbody Bag,"A small yet spacious bag, with a crossbody chain. ",2021-06-10T11:12:13.000Z
68719491394,Suede Roomy Shoulder Bag,"A versatile designed interior provides a roomy bag, as well as a classic suede exterior. ",2021-01-23T11:12:13.000Z
68719491395,Mini Stainless Handle Satchel,"A vintage take on a modern bag, complete with stainless handles. ",2021-09-17T11:12:13.000Z
68719491396,Weaved Leather Clutch,"Perfect for a night out, this spacious clutch offers for style and a logical space. ",2021-03-17T11:12:13.000Z
68719491399,Continental Zippered Wallet,Simplicty meets elegancy with this effortless zippered wallet. ,2021-05-16T11:12:13.000Z
68719491400,Medium Leather Shoulder Bag,A functional design complete with an optional adjustible strap and authentic leather. ,2021-01-14T11:12:13.000Z
68719491401,Men's Fabric Wallet,"A simple and functional design, crafted with fabric.",2021-08-16T11:12:13.000Z
68719491406,Round Oversized Sunglasses,"Oversized frames offer complete sun protection, while the style of the round frame completes the look. ",2021-07-24T11:12:13.000Z
68719491407,Round Wrap Style Sunglasses,"The curved temple and wrap style provide clarity and sun protection. Crafted with marbled edges and oversized lenses, this creates a mysterious look.",2021-03-25T11:12:13.000Z
68719491408,Oversize Wayfarer Sunglasses,"The oversised lenses and wayfarer style creates a hipster look, while the red trimming creates a retro feel. ",2021-01-19T11:12:13.000Z
68719491409,Oversize Cat-eye Sunglasses,"Cat lenses create a chill and nonchalant look, while the oversize lenses offer complete sun protection.",2021-09-16T11:12:13.000Z
68719491410,Vintage Horn Rimmed Sunglasses,"Bring back the cool with these vintage glasses,  creating a look that will never go out of style. ",2021-03-15T11:12:13.000Z
68719491411,Amber Sports Sunglasses,"Great for the outdoors, these glasses are crafted with scratch resistant lenses and complete sun protection, while offering extreme clarity. ",2021-05-17T11:12:13.000Z
68719491412,Lavender Gradient Aviator Sunglasses,"Perfect for the summer, these offer tinted and scratch resistant lenses. These bring the classic aviator and the modern lense together. ",2021-08-24T11:12:13.000Z
68719491413,Traditional Aviator Sunglasses,"Bringing the retro to the hipster, these glasses provide a timelessly cool look. ",2021-02-10T11:12:13.000Z
68719491414,Gold Round Sunglasses,"These hipster glasses will enhance your look, while protecting you from the sun. ",2021-03-14T11:12:13.000Z
68719492121,Purple and Blue Plaid Scarf,"A lightweight scarf meets a classic pattern of plaid, ultimatly offering a flowy fahion. ",2021-06-17T11:12:13.000Z
68719492122,Black Striped Scarf,"This soft wool scarf offers warmth in the cold, perfect for your winter wardrobe. ",2021-08-26T11:12:13.000Z
68719492123,Scottish Plaid Scarf,High-quality wool paired with a traditional plaid and long fringe. ,2021-01-25T11:12:13.000Z
68719492124,Red Printed Scarf,A floral satin scarf offers a lightweight and stylsih look. ,2021-01-18T11:12:13.000Z
68719492125,Grandient Scarf,Lightweight material paired with a  fade style provides an elegant look. ,2021-03-13T11:12:13.000Z
68719492129,Calfskin Leather Gloves,A classic style paired with authentic leather creates a sophisticated and modern look. ,2021-04-13T11:12:13.000Z
68719492135,Soft Orange Leather Gloves,Using a classic style of glove and pairing it with a vibrant soft leather creates a spunky and sophisticated look. ,2021-05-17T11:12:13.000Z
68719492141,White Leather Gloves,A classic design paired with a clean white leather provides an elegant look. ,2021-01-13T11:12:13.000Z
68719492147,Three Diamond Drop Pendant Necklace,Three shining stones sparkle in droplets creating a mesmerizing necklace. ,2021-09-14T11:12:13.000Z
68719492148,Three Diamond Silver Encased Drop Pendant,Three sparkling diamonds encased in a drop shaped pendant. ,2021-05-19T11:12:13.000Z
68719492149,"""24K Diamond """"O"""" Pendant""","A sleek ""O"" pendant complete with 24K diamonds. ",2021-05-26T11:12:13.000Z
68719492150,Amethyst Drop Pendant,An amethyst rests in at the end of this quality chain. ,2021-06-13T11:12:13.000Z
68719492151,Pink Diamond Heart Pendant,A pendant in the shape of the heart at the end of a chain.,2021-04-19T11:12:13.000Z
68719492152,Stranded Glass Bead Choker with Pink Stone Pendant,"A choker made from stranded glass beads, spotlighting a pink stone pendant. ",2021-09-22T11:12:13.000Z
68719492153,Aqua Glass Ball Necklace,A silver chain supporting an aqua glass ball. ,2021-05-18T11:12:13.000Z
68719492154,Ruby Pendant Necklace,A ruby pendant at the end of a silver chain.,2021-07-13T11:12:13.000Z
68719492155,Pink Crystal Round Necklace,A sparkling pink crystal at the end of a silver chain. ,2021-08-16T11:12:13.000Z
68719492156,Embedded Jewel Pendant Necklace,A jewel embedded in a pendant at the end of a quality silver chain. ,2021-03-25T11:12:13.000Z
68719492157,Square Pendant Necklace,A shimmering pendant in the shape of a square resting at the end of a gold chain. ,2021-08-22T11:12:13.000Z
68719492158,Round Red Crystal Pendant Necklace,A shimmering round red crystal resting in a pendant at the end of a gold chain. ,2021-07-10T11:12:13.000Z
68719492159,Gold Teardrop Pendant Necklace,A gold teardrop lays in a pendant that rests at the end of a gold chain.,2021-01-26T11:12:13.000Z
68719492160,Gold Filligree Statement Necklace,"A gold filligree design at the end of  a gold chain, designed to make a statement. ",2021-02-26T11:12:13.000Z
68719492161,Gold Chain,24K gold bound in a chain necklace. ,2021-05-19T11:12:13.000Z
68719492162,Silver Freshwater Pearl Two-Strand Necklace,Silver freshwater pearls strung into a two-strand necklace. ,2021-01-10T11:12:13.000Z
68719492163,Sunshine Pendant Necklace,A sunshine pendant at the end of necklace.,2021-02-14T11:12:13.000Z
68719492164,Woven Pearl Necklace and Bracelet,Pearls woven into a set of a necklace and bracelet. ,2021-07-10T11:12:13.000Z
68719492165,Silver Cuff Bracelet,"Sterling silver bracelet, cuff style.",2021-09-11T11:12:13.000Z
68719492166,Four Stone Diamond White Gold Ring,A white gold band complete with four stone diamonds. ,2021-02-24T11:12:13.000Z
68719492176,Three Stone Diamond White Gold Ring,Three diamonds on a white gold band. ,2021-02-24T11:12:13.000Z
68719492185,Three Stone Diamond Trellis Ring,A trellis band complete with three stone diamonds. ,2021-08-22T11:12:13.000Z
68719492195,"""4"""" Feather Earrings""","Dark grey 4"" feathers at the end of gold clips.",2021-06-18T11:12:13.000Z
68719492196,"""3"""" Feather Earrings""","Black 3"" feathers held by gold clips. ",2021-09-19T11:12:13.000Z
68719492197,Round Pendant Hoop Earrings,Round silver pendants held by silver hoops.,2021-02-26T11:12:13.000Z
68719492198,Green Pearl Drop Earrings,Green pearl drops held by silver earrings. ,2021-07-17T11:12:13.000Z
68719492199,Golden Flower Earrings,"Golden 1/4"" flowers held by golden clasps. ",2021-09-10T11:12:13.000Z
68719492200,Gold Wrapped Pearl Earrings,Pearls wrapped in gold held by golden clasps. ,2021-01-16T11:12:13.000Z
68719492201,Embedded Pearl Earrings,Pearls embedded in sterling silver earrings. ,2021-02-19T11:12:13.000Z
68719492202,Geometic Silver Stud Cuff Links,Geometric-style silver cuff links.,2021-02-16T11:12:13.000Z
68719492203,Silver Square Cuff Links,Square cuff links made of silver. ,2021-07-19T11:12:13.000Z
68719492204,Diamond Etched Cuff Links,Cuff links complete with a diamond etched front. ,2021-04-10T11:12:13.000Z
68719492205,Blue Stone Cuff Links,Cuff links complete with blue stones.,2021-08-16T11:12:13.000Z
68719492209,Grey Athletic Sweatshirt,Cotton-fleece sweatshirt made for comfort with roomy shoulders. ,2021-08-17T11:12:13.000Z
68719492215,Leightweight Zip Up Shirt,A blue zip up shirt made of a lightweight blend.,2021-08-25T11:12:13.000Z
68719492222,High Neck Striped Sweater,Long-sleeve sweater complete with a high neck and a grey and black stripe. ,2021-05-18T11:12:13.000Z
68719492228,Merion Wool Turtleneck,A long-sleeve turtleneck crafted of merion wool.,2021-02-13T11:12:13.000Z
68719492234,Merino Wool Regular Fit Sweater,Regular fit longsleeve sweater crafted from merino wool.,2021-05-20T11:12:13.000Z
68719492240,High Neck Cotton Sweater,Longsleeve high neck sweater made of cotton. ,2021-03-23T11:12:13.000Z
68719492251,Long Sleeve Cotton Pocketed T-Shirt,Longsleeve pocketed shirt made of cotton.,2021-03-14T11:12:13.000Z
